Year,Motivation,Laureate ID,Laureate Type,Full Name,Birth City,Birth Country,Birth Year,Age,Sex,Organization Name,Organization City,Organization Country,Chemistry,Economics,Literature,Medicine,Peace,Physics,Share 1/1,Share 1/2,Share 1/3,Share 1/4
1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",160,0,Jacobus Henricus van 't Hoff,Rotterdam,Netherlands,1852.0,49.0,0.0,Berlin University,Berlin,Germany,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",569,0,Sully Prudhomme,Paris,France,1839.0,62.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",293,0,Emil Adolf von Behring,Hansdorf (Lawice),Prussia (Poland),1854.0,47.0,0.0,Marburg University,Marburg,Germany,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1901,,462,0,Jean Henry Dunant,Geneva,Switzerland,1828.0,73.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1901,,463,0,Frédéric Passy,Paris,France,1822.0,79.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1,0,Wilhelm Conrad Röntgen,Lennep (Remscheid),Prussia (Germany),1845.0,56.0,0.0,Munich University,Munich,Germany,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",161,0,Hermann Emil Fischer,Euskirchen,Prussia (Germany),1852.0,50.0,0.0,Berlin University,Berlin,Germany,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",571,0,Christian Matthias Theodor Mommsen,Garding,Schleswig (Germany),1817.0,85.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",294,0,Ronald Ross,Almora,India,1857.0,45.0,0.0,University College,Liverpool,United Kingdom,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1902,,464,0,Élie Ducommun,Geneva,Switzerland,1833.0,69.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
